"Name","Rating","Reviews","Category","Phone","Website","Email","All Emails","Firecrawl Emails","Firecrawl Phones","Address","Profile"
"Scott R Housenbold Law Offices","5","94","Personal injury attorney","(212) 354-5048","","","","","","","https://www.google.com/maps/place/Scott+R+Housenbold+Law+Offices/data=!4m7!3m6!1s0x89c25a18f1e057c5:0x15161ce2fabdb197!8m2!3d40.736457!4d-73.991114!16s%2Fg%2F12647_n_l!19sChIJxVfg8RhawokRl7G9-uIcFhU?authuser=0&hl=en&rclk=1"
"Hello Prenup","5","1","Legal services","(212) 918-4637","","","","","","","https://www.google.com/maps/place/Hello+Prenup/data=!4m7!3m6!1s0x89c25baa57e79585:0x9d1389535893e834!8m2!3d40.707337!4d-74.009147!16s%2Fg%2F11z37z8wtv!19sChIJhZXnV6pbwokRNOiTWFOJE50?authuser=0&hl=en&rclk=1"
"The Law Offices of Michael S. Lamonsoff, PLLC","4.7","574","Law firm","(212) 962-1020","https://www.msllegal.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-nyc","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/The+Law+Offices+of+Michael+S.+Lamonsoff,+PLLC/data=!4m7!3m6!1s0x89c25a17cf5696eb:0x27c28a1d9b84b09c!8m2!3d40.7037845!4d-74.0080471!16s%2Fg%2F1wn_7073!19sChIJ65ZWzxdawokRnLCEmx2Kwic?authuser=0&hl=en&rclk=1"
"Weitz & Luxenberg NYC","4.8","667","Law firm","(917) 529-9377","https://www.weitzlux.com/locations/new-york-ny/","media@weitzlux.com","media@weitzlux.com; marketing@weitzlux.com; info@weitzlux.com; www.asbestosn@ion.org; marketing@weitzlux.com.email; support@netu.tv; info@weitzlux.com.email","","","","https://www.google.com/maps/place/Weitz+%26+Luxenberg+NYC/data=!4m7!3m6!1s0x89c25b45cb767ac9:0xf191a99e16690546!8m2!3d40.7284098!4d-73.9937922!16s%2Fg%2F11g22zwcj0!19sChIJyXp2y0VbwokRRgVpFp6pkfE?authuser=0&hl=en&rclk=1"
"Pardalis and Nohavicka Lawyers","4.8","125","Law firm","(212) 213-8511","https://pnlawyers.com/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Pardalis+and+Nohavicka+Lawyers/data=!4m7!3m6!1s0x89c258e32e3f2751:0xb463a10a805fe02d!8m2!3d40.7602219!4d-73.9680614!16s%2Fg%2F11c0v8fylh!19sChIJUSc_LuNYwokRLeBfgAqhY7Q?authuser=0&hl=en&rclk=1"
"Romano Law","4.9","345","Law firm","(516) 518-3439","https://www.romanolaw.com/","repe@visits.by","repe@visits.by; support@netu.tv","","","","https://www.google.com/maps/place/Romano+Law/data=!4m7!3m6!1s0x89c25a16a2cfaec5:0xdcdc988edead8318!8m2!3d40.7033758!4d-74.0138065!16s%2Fg%2F1hhwh83h5!19sChIJxa7PohZawokRGIOt3o6Y3Nw?authuser=0&hl=en&rclk=1"
"Lebedin Kofman LLP","4.9","480","Law firm","(646) 663-4430","https://lebedinkofman.com/","support@netu.tv","support@netu.tv; info@lebedinkofmanlaw.com","","","","https://www.google.com/maps/place/Lebedin+Kofman+LLP/data=!4m7!3m6!1s0x89c25a16ed8593df:0x79c4a1a5eb39e2bd!8m2!3d40.7052301!4d-74.0131831!16s%2Fg%2F12ll5gh55!19sChIJ35OF7RZawokRveI566WhxHk?authuser=0&hl=en&rclk=1"
"ILGANAYEV LAW FIRM, PLLC","5","125","Law firm","(646) 396-8050","http://www.ilganayevlaw.com/","ilganayevlaw@gmail.com","ilganayevlaw@gmail.com; support@netu.tv","","","","https://www.google.com/maps/place/ILGANAYEV+LAW+FIRM,+PLLC/data=!4m7!3m6!1s0x89c25a186b2f5b85:0x59ea9bd9de257987!8m2!3d40.7104617!4d-74.0077673!16s%2Fg%2F11c6ppq56v!19sChIJhVsvaxhawokRh3kl3tmb6lk?authuser=0&hl=en&rclk=1"
"The Shapiro Law Firm, LLC","5","180","Law firm","(212) 444-8064","https://www.theshapirolawyers.com/","contact@theshapirolawyers.com","contact@theshapirolawyers.com; str@ophi.com; str@ophi.com.law; support@netu.tv","","","","https://www.google.com/maps/place/The+Shapiro+Law+Firm,+LLC/data=!4m7!3m6!1s0x89c25a115e75b665:0xb82e370019e1e7e0!8m2!3d40.7062458!4d-74.0174903!16s%2Fg%2F113fkpzjr!19sChIJZbZ1XhFawokR4OfhGQA3Lrg?authuser=0&hl=en&rclk=1"
"Pierce & Kwok LLP","4.9","99","Law firm","(212) 882-1752","https://piercekwok.com/","info@piercekwok.com","info@piercekwok.com; support@netu.tv","","","","https://www.google.com/maps/place/Pierce+%26+Kwok+LLP/data=!4m7!3m6!1s0x89c2596045937f7d:0xcfaafa81bd3fc907!8m2!3d40.7150606!4d-74.0058265!16s%2Fg%2F1hc7xxh41!19sChIJfX-TRWBZwokRB8k_vYH6qs8?authuser=0&hl=en&rclk=1"
"Law Office of Biana Borukhovich, PLLC - Fashion Lawyer NYC - Trademark Attorney New York","5","87","Attorney","(347) 450-1811","https://borukhovichlaw.com/","support@netu.tv","support@netu.tv; info@bb-lawfirm.com","","","","https://www.google.com/maps/place/Law+Office+of+Biana+Borukhovich,+PLLC+-+Fashion+Lawyer+NYC+-+Trademark+Attorney+New+York/data=!4m7!3m6!1s0x89c244ea7c4aed87:0xada040efc12cd3f6!8m2!3d40.755106!4d-73.986209!16s%2Fg%2F1hc2mpfzd!19sChIJh-1KfOpEwokR9tMswe9AoK0?authuser=0&hl=en&rclk=1"
"Chaves Perlowitz Luftig LLP","4.9","686","Law firm","(212) 791-3747","https://www.cpllawfirm.com/manhattan/?utm_source=google&utm_medium=local&utm_campaign=manhattangmb","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Chaves+Perlowitz+Luftig+LLP/data=!4m7!3m6!1s0x89e83792c5f85543:0x767006aba3e07a26!8m2!3d40.7096872!4d-74.0109678!16s%2Fg%2F1tdpm_ln!19sChIJQ1X4xZI36IkRJnrgo6sGcHY?authuser=0&hl=en&rclk=1"
"Kimmel & Silverman, P.C., New York Lemon Law Firm","5","307","Law firm","(800) 536-6652","https://www.lemonlaw.com/new-york/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Kimmel+%26+Silverman,+P.C.,+New+York+Lemon+Law+Firm/data=!4m7!3m6!1s0x89c259abb7eb69e1:0x3305a95b07fd037c!8m2!3d40.7519978!4d-73.9865363!16s%2Fg%2F11f1kfgty1!19sChIJ4Wnrt6tZwokRfAP9B1upBTM?authuser=0&hl=en&rclk=1"
"Raphaelson & Levine Law Firm, P.C.","4.8","718","Law firm","(646) 960-3476","https://www.raphaelsonlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_midtown_manhattan","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Raphaelson+%26+Levine+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c259add357548f:0xeaf6e4ad2a5f8043!8m2!3d40.7517816!4d-73.9918095!16s%2Fg%2F1vtqx04l!19sChIJj1RX061ZwokRQ4BfKq3k9uo?authuser=0&hl=en&rclk=1"
"The Rothenberg Law Firm Accident And Injury Lawyers","4.9","278","Law firm","(516) 715-3658","https://injurylawyer.com/new-york/?utm_source=gmblisting&utm_medium=organic&utm_campaign=nyc","compens@ion.medical","compens@ion.medical; th@breach.in; support@netu.tv","","","","https://www.google.com/maps/place/The+Rothenberg+Law+Firm+Accident+And+Injury+Lawyers/data=!4m7!3m6!1s0x89c259ac20927379:0x2fcfcbe700f8b88b!8m2!3d40.7514675!4d-73.9905644!16s%2Fg%2F1ptyn_p30!19sChIJeXOSIKxZwokRi7j4AOfLzy8?authuser=0&hl=en&rclk=1"
"Gana Weinstein LLP","4.9","141","Law firm","(800) 810-4262","https://www.ganalawfirm.com/?utm_source=google&utm_medium=local","arbitr@ion.no","arbitr@ion.no; support@netu.tv","","","","https://www.google.com/maps/place/Gana+Weinstein+LLP/data=!4m7!3m6!1s0x89c259ac20927379:0x97a41b7b2ac77443!8m2!3d40.7518164!4d-73.9793737!16s%2Fg%2F1pp2x6bv2!19sChIJeXOSIKxZwokRQ3THKnsbpJc?authuser=0&hl=en&rclk=1"
"Kulen Law Firm P.C.","4.9","518","Attorney","(212) 904-1506","http://www.kulenlawfirm.com/","kulen@kulenlawfirm.com","kulen@kulenlawfirm.com; contact+1-212-904-1506kulen@kulenlawfirm.com; touchcontact+1-212-904-1506kulen@kulenlawfirm.com; kulen@kulenlaw.com; support@netu.tv","","","","https://www.google.com/maps/place/Kulen+Law+Firm+P.C./data=!4m7!3m6!1s0x89c259afa8e5959b:0x9a79607182dc9163!8m2!3d40.755568!4d-73.9903732!16s%2Fg%2F11b6dvs5gk!19sChIJm5XlqK9ZwokRY5HcgnFgeZo?authuser=0&hl=en&rclk=1"
"The Law Office of Richard M. Kenny","5","356","Law firm","(844) 955-4338","https://www.rmkinjurylaw.com/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/The+Law+Office+of+Richard+M.+Kenny/data=!4m7!3m6!1s0x89c259af2c39895d:0x66a37069fbab00ed!8m2!3d40.7484743!4d-73.9920519!16s%2Fg%2F1td1wc4v!19sChIJXYk5LK9ZwokR7QCr-2lwo2Y?authuser=0&hl=en&rclk=1"
"Dilendorf Law Firm PLLC","5","210","Law firm","(212) 457-9797","http://dilendorf.com/","domain@dilendorf.com","domain@dilendorf.com; info@dilendorf.com; support@netu.tv","","","","https://www.google.com/maps/place/Dilendorf+Law+Firm+PLLC/data=!4m7!3m6!1s0x89c258ee8344fd7b:0x8af631ecf3355825!8m2!3d40.7088245!4d-74.0112487!16s%2Fg%2F11c5rsskn3!19sChIJe_1Eg-5YwokRJVg18-wx9oo?authuser=0&hl=en&rclk=1"
"Fisher Stone, P.C.","5","201","Law firm","(212) 256-1877","https://fisherstonelaw.com/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Fisher+Stone,+P.C./data=!4m7!3m6!1s0x89c25900c690a93f:0x3229764e28d304cf!8m2!3d40.7059768!4d-74.0126087!16s%2Fg%2F1ptwh9471!19sChIJP6mQxgBZwokRzwTTKE52KTI?authuser=0&hl=en&rclk=1"
"NYIS Law Firm","4.9","427","Law firm","(212) 987-6666","https://nyislaw.com/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/NYIS+Law+Firm/data=!4m7!3m6!1s0x89c260102910c3c3:0x49e6ad0fb909191f!8m2!3d40.713638!4d-74.0087211!16s%2Fg%2F11g9dpszr0!19sChIJw8MQKRBgwokRHxkJuQ-t5kk?authuser=0&hl=en&rclk=1"
"Law Offices of Nathaniel Muller, PC","5","94","Law firm","(646) 774-2895","http://legalmuller.com/","nm@legalmuller.com","nm@legalmuller.com; support@netu.tv","","","","https://www.google.com/maps/place/Law+Offices+of+Nathaniel+Muller,+PC/data=!4m7!3m6!1s0x89c259a9265cdc0b:0xffcae8e768c9bea0!8m2!3d40.7527814!4d-73.9759322!16s%2Fg%2F1tx47zdv!19sChIJC9xcJqlZwokRoL7JaOfoyv8?authuser=0&hl=en&rclk=1"
"Thomas Law Firm PLLC","5","72","Law firm","","https://thomaslawfirm.co/","support@netu.tv","support@netu.tv","","","","https://www.google.com/maps/place/Thomas+Law+Firm+PLLC/data=!4m7!3m6!1s0x89c2598d38090bc1:0x6c36a5be265ade84!8m2!3d40.727424!4d-74.005712!16s%2Fg%2F11yf_sbbq!19sChIJwQsJOI1ZwokRhN5aJr6lNmw?authuser=0&hl=en&rclk=1"
"Avenue Law Firm","4.9","151","Real estate attorney","(212) 729-4090","https://avenuelawfirm.com/","peter@avenuelawfirm.com","peter@avenuelawfirm.com; separ@ely.it; support@netu.tv","","","","https://www.google.com/maps/place/Avenue+Law+Firm/data=!4m7!3m6!1s0x89c258ff9a64027b:0xc562f426d9e34ef0!8m2!3d40.76294!4d-73.96928!16s%2Fg%2F124yfgsl2!19sChIJewJkmv9YwokR8E7j2Sb0YsU?authuser=0&hl=en&rclk=1"
"James J. DeCristofaro","4.9","572","Attorney","(212) 500-1891","https://thelawyerjames.com/","an@torney.by","an@torney.by; support@netu.tv","","","","https://www.google.com/maps/place/James+J.+DeCristofaro/data=!4m7!3m6!1s0x89c259ba9c75d7db:0x857b0296cc8c3927!8m2!3d40.7589575!4d-73.9745896!16s%2Fg%2F12hkdx3x1!19sChIJ29d1nLpZwokRJzmMzJYCe4U?authuser=0&hl=en&rclk=1"
